sitio	replica	estrato	taxa	abundance	body_mass	size_class
R	3	H	uropodoidea	4	123.55365319572	meso
R	1	H	galumnidae	5	122.562466817674	meso
L	2	10	entomobridae	1	118.720256529443	meso
L	2	H	entomobridae	4	118.286568761089	meso
L	1	H	mesostigmata	4	118.039930008742	meso
L	1	H	ologamasidae	3	117.327692161625	meso
P	2	H	entomobridae	1	111.865782127804	meso
R	2	H	aphidoidea	1	105.803062538991	meso
P	3	H	limnozetidae	1	104.088968675335	meso
P	3	H	galumnidae	1	103.408520937883	meso
R	1	10	uropodoidea	1	100.709892811347	meso
P	2	20	entomobridae	1	99.0595952011892	meso
R	3	Frag	symphypleona	1	97.6812248461524	meso
R	1	H	entomobridae	14	97.3540104348469	meso
R	1	10	galumnidae	4	96.4704160747613	meso
R	2	H	entomobridae	4	96.2873486771925	meso
L	1	10	galumnidae	1	94.7973562000797	meso
L	1	humus	galumnidae	1	94.7973562000797	meso
L	1	10	mesostigmata	1	90.3092464735585	meso
L	3	H	tardigrado	10	88.2871694540196	meso
R	2	10	gasteropoda	1	84.7371280429642	macro
P	1	10	thysanoptera	7	81.7510797879113	meso
P	3	H	macropilina	1	79.2427624886036	meso
L	2	H	macropilina	1	79.2427624886036	meso
R	3	10	eremobelbidae	4	77.4821346207863	meso
L	1	H	parasitidae	9	77.3269232249726	meso
L	2	H	larva_sciaridae	4	74.8534558286682	meso
P	3	H	uropodoidea	1	74.7676394413521	meso
L	3	H	thysanoptera	17	72.6615315408674	meso
R	2	H	mesostigmata	1	70.3649067190756	meso
R	3	H	eupthiracaroidea	77	69.7534188392374	meso
R	3	10	eupthiracaroidea	2	68.0345828631327	meso
L	2	H	veigaioidea	1	67.7473	meso
P	2	H	eremobelbidae	4	64.8734361291001	meso
L	2	H	ologamasidae	2	64.3614830298769	meso
P	2	H	dermanisoidea	17	64.1599580303637	meso
P	3	H	eupthiracaroidea	1	64.0765212259648	meso
P	3	humus	laelapidae	1	63.9230181319301	meso
L	3	10	entomobridae	1	62.9849781859312	meso
R	1	H	eremobelbidae	10	61.5555106041178	meso
L	1	H	entomobridae	3	61.5435756676514	meso
P	3	10	eremobelbidae	1	61.1366607859955	meso
R	3	H	eremobelbidae	20	61.0154348282504	meso
R	1	H	uropodoidea	5	58.8957345446423	meso
L	2	H	eremobelbidae	1	58.3852526401901	meso
P	1	H	eremobelbidae	9	58.0417370190981	meso
R	1	H	ologamasidae	4	57.480695519899	meso
L	3	H	dermanisoidea	9	56.7665328013807	meso
P	2	Frag	eviphididae	8	56.4466705012434	meso
P	1	H	limnozetidae	2	55.5926864159043	meso
R	3	H	epilhomanioidea	6	54.9913072051027	meso
R	3	10	galumnidae	6	53.9015620613765	meso
L	1	H	dermanisoidea	10	52.1943097647321	meso
P	1	H	eupthiracaroidea	1	51.7909901042439	meso
R	1	H	eupthiracaroidea	5	51.7909901042439	meso
R	2	10	diplura	1	50.475211827975	meso
P	1	10	aphidoidea	1	50.456885502928	meso
P	3	H	eremobelbidae	9	49.9539182054039	meso
R	1	H	symphypleona	3	48.3806662041056	meso
R	2	H	eupthiracaroidea	5	48.1595349530916	meso
L	3	10	larva_diptera	2	47.9918914015558	meso
L	3	10	epilhomanioidea	12	47.6430667018203	meso
L	2	H	epilhomanioidea	1	47.6430667018203	meso
L	1	H	epilhomanioidea	1	47.6430667018203	meso
P	1	10	epilhomanioidea	1	47.6430667018203	meso
L	2	10	ceratozetoidea	5	47.6335896470612	meso
L	2	H	dermanisoidea	8	47.6220867280836	meso
R	2	10	nem_omnivor	138.962025316456	46.7485763359798	micro
R	1	H	aphidoidea	2	46.2730366557679	meso
P	3	20	entomobridae	1	45.2252809172532	meso
P	1	H	eviphididae	10	44.8301042446783	meso
L	2	H	astigmata	63	43.177793436739	meso
P	1	H	dermanisoidea	16	43.049863691435	meso
P	2	H	eupthiracaroidea	1	42.1525042665941	meso
P	1	10	limnozetidae	1	41.0861222352013	meso
L	2	H	symphypleona	3	40.9920258551361	meso
P	3	10	laelapidae	2	39.9312952443731	meso
P	1	10	symphyla	1	39.4706319362744	meso
R	3	H	oribatulidae	24	39.2769092258239	meso
P	2	H	limnozetidae	1	38.9302634021245	meso
L	2	10	oribatulidae	2	37.5903895350737	meso
R	3	10	ceratozetoidea	3	36.7035405623161	meso
L	2	H	eviphididae	4	35.941044201724	meso
P	1	H	entomobridae	16	35.4451182148434	meso
L	3	H	oribatulidae	12	35.1084125235543	meso
R	3	H	ceratozetoidea	73	35.0938301159981	meso
L	3	H	symphypleona	12	34.7771226291908	meso
L	1	H	oribatulidae	46	34.7121437414203	meso
L	2	H	oribatulidae	11	34.6081602924435	meso
P	3	H	oribatulidae	34	34.0289673420103	meso
R	3	10	oribatulidae	1	33.630069475498	meso
L	2	10	astigmata	15	33.5708732345146	meso
P	2	10	oribatulidae	7	32.415488558026	meso
P	2	H	oribatulidae	40	31.5400351312663	meso
R	3	H	scheloribatidae	15	30.8495438622546	meso
L	3	10	nem_omnivor	103.452631578947	30.4931014562844	micro
L	3	H	hipogastruridae	182	30.3711691018539	meso
P	1	H	diplura	1	30.3228309090029	meso
L	1	10	oribatulidae	2	29.7503297482706	meso
R	3	H	galumnidae	24	29.1480826231232	meso
L	1	10	astigmata	7	28.7642839459781	meso
L	1	H	astigmata	76	28.7642839459781	meso
L	2	H	parasitidae	8	28.3335488295525	meso
P	1	H	ologamasidae	2	27.2548646560941	meso
R	1	20	diplura	1	26.4919774283054	meso
P	3	10	oripodidae	5	26.2663843826965	meso
R	3	10	entomobridae	3	25.9967465708505	meso
P	3	H	scheloribatidae	21	25.8922531741739	meso
R	3	humus	parasitidae	4	25.1868179239439	meso
P	3	H	parasitidae	9	24.0959415983658	meso
L	3	10	oribatulidae	2	24.091567735627	meso
R	2	10	ceratozetoidea	1	23.3124443026105	meso
R	2	H	ceratozetoidea	20	23.3124443026105	meso
L	1	H	scheloribatidae	23	23.0128199045196	meso
P	1	H	scheloribatidae	71	22.7503865577212	meso
L	3	10	hipogastruridae	11	22.7199190065946	meso
L	2	10	oripodidae	12	22.4130280018892	meso
P	1	H	ceratozetoidea	24	22.3701102543334	meso
R	2	H	hipogastruridae	2	22.2076667918063	meso
L	3	10	oripodidae	30	22.2000343258278	meso
R	3	humus	eviphididae	1	22.1506446059002	meso
R	3	H	oripodidae	56	22.0824185978727	meso
R	2	humus	eviphididae	3	21.9681432672022	meso
P	3	H	dermanisoidea	5	21.9397693525063	meso
L	3	10	ceratozetoidea	8	21.3182237977438	meso
L	3	H	ceratozetoidea	2	21.3182237977438	meso
L	3	H	oppioidea	5	21.3063988377716	meso
R	3	10	oripodidae	9	21.21711944323	meso
L	1	H	oripodidae	109	21.1690588063609	meso
L	1	10	oripodidae	14	21.1616322432331	meso
L	3	10	astigmata	10	21.0817798473439	meso
L	3	H	scheloribatidae	12	20.94654496711	meso
P	2	H	oripodidae	122	20.7285261550929	meso
P	3	10	parasitidae	4	20.6202532380868	meso
P	1	H	oribatulidae	21	20.2701005802478	meso
P	2	10	symphyla	1	19.8435577869808	meso
R	1	H	laelapidae	1	19.6580365527955	meso
P	2	10	parasitidae	1	19.4778797442025	meso
L	1	10	parasitidae	1	19.1210175646197	meso
P	1	H	anystidae	2	19	meso
L	2	H	oripodidae	32	18.8551334047518	meso
R	1	10	parasitidae	1	18.6569931013572	meso
P	1	10	oppioidea	1	18.4965460380334	meso
P	3	10	oribatulidae	2	18.3589746273728	meso
P	2	H	hipogastruridae	7	18.0498129282786	meso
R	1	10	arctacaridae	1	18.0060070266512	meso
P	3	10	isotomidae	2	17.9006101521712	meso
P	1	H	oripodidae	184	17.8091207705442	meso
P	3	10	scheloribatidae	3	17.6872370755545	meso
R	1	H	oribatulidae	17	17.6289248524028	meso
P	1	10	parasitidae	2	17.2649197115697	meso
R	1	H	parasitidae	5	17.148344863163	meso
L	2	Frag	rhagidiidae	1	17.14785168471	meso
L	3	H	penthalidae	1	16.9950615723248	meso
L	2	H	ceratozetoidea	8	16.6897648057028	meso
P	1	10	ceratozetoidea	6	16.537169291426	meso
P	3	10	eviphididae	2	16.5315383036873	meso
P	3	humus	eviphididae	1	16.5315383036873	meso
R	3	H	oppioidea	31	16.4774260788983	meso
L	3	H	astigmata	48	16.4624606044138	meso
R	1	H	Limnozetidae	2	16.1585425231335	meso
P	3	H	oppioidea	7	16.0780225921189	meso
P	1	H	parasitidae	94	15.9082339782195	meso
P	2	H	isotomidae	19	15.8012939566584	meso
P	1	H	symphyla	1	15.6667	meso
P	2	H	scheloribatidae	36	15.5784898514653	meso
P	1	H	isotomidae	153	15.5365920930513	meso
P	3	Frag	laelapidae	4	15.2797885554217	meso
P	3	10	ceratozetoidea	1	15.272512099062	meso
P	3	H	ceratozetoidea	1	15.272512099062	meso
L	3	H	oripodidae	36	15.1510894829546	meso
R	1	humus	arctacaridae	3	15.0252783501292	meso
L	3	H	rhodacarioidea	4	14.9353815342702	meso
L	2	H	scheloribatidae	5	14.7705382689287	meso
R	1	10	oribatulidae	1	14.6413753569692	meso
P	2	10	astigmata	3	14.5859380938569	meso
P	2	H	astigmata	20	14.5859380938569	meso
P	2	10	scheloribatidae	6	14.5416650812556	meso
P	2	H	parasitidae	8	14.2521295621035	meso
P	1	H	onichiuridae	48	14.160503454348	meso
P	1	10	oripodidae	8	14.0870882387854	meso
L	1	H	rhodacarioidea	4	14.0632566975172	meso
R	1	10	diplura	1	14.0013034707283	meso
R	2	H	oribatulidae	4	13.9674034381021	meso
P	1	10	bdelloidea	1	13.9004701354604	meso
P	2	10	oripodidae	17	13.711595062522	meso
R	2	H	uropodoidea	2	13.7102990919586	meso
R	2	H	oppioidea	4	13.7017832877069	meso
P	3	10	hipogastruridae	4	13.4175261929214	meso
P	1	10	hipogastruridae	1	13.4175261929214	meso
P	3	H	onichiuridae	5	13.4144471762093	meso
L	1	H	tydeioidea	17	13.37	meso
L	1	H	isotomidae	69	13.1221715239694	meso
R	3	10	astigmata	4	13.0660076436184	meso
R	3	H	astigmata	10	13.0660076436184	meso
P	2	H	onichiuridae	6	12.9702430019258	meso
L	2	10	nem_fungivoro	183.944444444444	12.9521263752672	micro
R	2	10	nem_predador	50.5316455696203	12.8803435608079	micro
P	1	10	scheloribatidae	1	12.8314664924239	meso
L	1	10	nem_omnivor	22.1492537313433	12.589212427066	micro
R	1	H	oripodidae	24	12.5229299866707	meso
L	1	H	hipogastruridae	268	12.4484661128361	meso
R	3	H	isotomidae	28	12.3553174688705	meso
R	1	10	oripodidae	4	12.2864071396653	meso
R	2	H	scheloribatidae	6	12.255541039338	meso
R	3	10	oppioidea	4	12.1799029398465	meso
R	1	H	ceratozetoidea	21	11.9910450880093	meso
L	1	H	onichiuridae	13	11.9429309036323	meso
L	3	10	oppioidea	9	11.8808509572171	meso
P	3	10	oppioidea	2	11.8808509572171	meso
P	2	10	oppioidea	2	11.8808509572171	meso
L	1	10	oppioidea	7	11.8808509572171	meso
L	2	H	oppioidea	1	11.8560117552562	meso
R	3	H	hipogastruridae	29	11.8402590942925	meso
L	2	H	hipogastruridae	168	11.738375317107	meso
P	1	10	oribatulidae	1	11.719017492439	meso
P	3	10	rhodacarioidea	6	11.5848949607382	meso
L	3	Frag	parasitidae	6	11.5740147633999	meso
R	2	H	parasitidae	3	11.400305998416	meso
L	1	H	symphyla	2	11.3080365616843	meso
R	1	H	scheloribatidae	8	11.2105040895321	meso
R	1	20	symphyla	1	10.9718148654117	meso
P	2	H	oppioidea	17	10.9237845208907	meso
L	2	10	mesostigmata	1	10.9127275216957	meso
P	2	H	rhagidiidae	3	10.7990053505364	meso
R	3	10	epilhomanioidea	6	10.6628137055171	meso
L	2	H	symphyla	1	10.593849183949	meso
P	1	10	nem_omnivor	115.833333333333	10.4411637214987	micro
L	2	H	isotomidae	176	10.2719256036093	meso
L	2	H	penthalidae	4	9.94535138504156	meso
R	2	H	oripodidae	8	9.79930666114148	meso
R	2	10	nem_fungivoro	214.759493670886	9.77496966317496	micro
P	1	10	rhodacarioidea	3	9.74448729911216	meso
L	3	H	isotomidae	39	9.70523377660126	meso
R	1	H	tydeioidea	2	9.55068581489762	meso
L	2	10	oppioidea	4	9.18148630275309	meso
P	3	H	bdelloidea	7	9.09041002602383	meso
R	3	H	teneriffidae	2	9.06274985615141	meso
R	2	10	galumnidae	1	8.97834951205339	meso
L	1	10	hipogastruridae	10	8.96177736319605	meso
