Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
L	1	H	larva_carabidae	8997.154	2193.417	7276.056963
L	1	Hoja	enquitreido	19968.903	379.667	7252.52086431958
L	1	Hoja	enquitreido	19943.137	655.381	7242.22775852161
R	1	20	cicadidae			7200
R	2	10	oniscoidea			7200
R	2	10	oniscoidea			7200
R	2	10	oniscoidea			7200
R	2	H	oniscoidea			7200
R	3	H	oniscoidea			7200
R	1	H	larva_diptera			7200
R	2	10	lycosidae			7200
L	1	H	lycosidae			7200
L	1	10	lycosidae			7200
L	1	10	diplopoda			7200
L	1	10	diplopoda			7200
L	3	20	nematomorpha			7200
R	3	20	diplopoda			7200
P	1	20	ptilidae			7200
R	1	10	juvenil			7200
L	1	Hoja	pupa_diptero	8638.108	3365.359	6985.409226
L	2	Hoja	pupa_diptero	8608.956	2815.489	6961.810682
R	3	10	juvenil			6900
R	3	10	juvenil			6900
P	1	10	carabidae			6800
P	1	10	coccinelidae			6800
P	2	10	oniscoidea			6800
P	2	10	oniscoidea			6800
P	1	H	oniscoidea			6800
P	1	H	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	10	oniscoidea			6800
R	2	H	oniscoidea			6800
R	2	H	oniscoidea			6800
R	2	H	oniscoidea			6800
R	2	H	oniscoidea			6800
R	3	20	oniscoidea			6800
R	2	20	lycosidae			6800
L	1	10	diplopoda			6800
P	2	H	staphylinidae			6800
L	2	Hoja	pupa_diptero	8331.499	3092.564	6737.2092405
R	2	10	juvenil			6600
L	2	10	pupa_diptero	8137.66	2468.353	6580.29657
L	2	Hoja	pupa_diptero	8025.341	2501.922	6489.3743395
P	2	20	Microscolexphosphoreus			6450
R	3	H	gastropoda			6400
P	1	H	oniscoidea			6400
R	2	10	oniscoidea			6400
R	2	10	oniscoidea			6400
R	2	H	oniscoidea			6400
R	2	H	oniscoidea			6400
R	3	20	larva_coleoptero			6400
L	1	10	diplopoda			6400
L	1	20	diplopoda			6400
L	1	10	staphylinidae			6400
P	3	10	juvenil			6300
P	2	10	juvenil			6300
R	1	10	juvenil			6150
P	1	Frag	enquitreido	17043.972	815.203	6092.94491848213
P	2	10	larva_coleoptero	7512.877	2435.033	6074.5347315
P	1	10	carabidae			6000
P	2	H	oniscoidea			6000
P	1	10	oniscoidea			6000
P	1	10	oniscoidea			6000
P	1	10	oniscoidea			6000
P	1	10	oniscoidea			6000
R	2	10	oniscoidea			6000
R	2	10	oniscoidea			6000
R	2	10	oniscoidea			6000
R	2	H	oniscoidea			6000
R	2	H	oniscoidea			6000
R	3	10	oniscoidea			6000
R	3	H	oniscoidea			6000
R	3	H	lycosidae			6000
R	3	Frag	larva_carabido	7384.32	1183.366	5970.46784
R	2	10	juvenil			5850
R	3	humus	larva_sciaridae	7340.193	731.476	5708.67629056343
L	1	10	enquitreido	15938.137	539.837	5659.53395548273
P	2	10	oniscoidea			5600
P	2	10	oniscoidea			5600
R	2	10	oniscoidea			5600
R	2	H	oniscoidea			5600
R	3	10	oniscoidea			5600
R	3	10	oniscoidea			5600
R	3	H	oniscoidea			5600
L	3	20	linyphiidae			5600
P	1	20	staphylinidae			5600
R	2	10	juvenil			5550
P	1	Frag	enquitreido	15521.546	396.883	5497.02652649311
R	2	10	juvenil			5250
R	1	10	juvenil			5250
P	2	20	anthribidae			5200
R	3	20	blattodea			5200
R	2	20	formicidae			5200
P	1	10	geophylomorpha			5200
R	3	10	geophylomorpha			5200
R	3	10	geophylomorpha			5200
P	2	10	oniscoidea			5200
P	1	H	oniscoidea			5200
R	2	10	oniscoidea			5200
R	2	H	oniscoidea			5200
R	2	H	oniscoidea			5200
R	2	H	oniscoidea			5200
R	3	H	oniscoidea			5200
R	1	H	oniscoidea			5200
R	3	10	larva_elateridae			5200
L	1	10	larva_tenebrionidae			5200
P	1	H	staphylinidae			5200
L	2	10	enquitreido	14685.451	395.744	5172.20078839002
P	2	10	Microscolexphosphoreus			5100
R	2	10	juvenil			4950
P	2	10	juvenil			4950
P	2	Frag	larva_coleoptero	6122.273	879.256	4948.8407935
P	1	10	carabidae			4800
R	2	20	formicidae			4800
P	2	10	oniscoidea			4800
P	2	10	oniscoidea			4800
P	2	20	oniscoidea			4800
P	3	10	oniscoidea			4800
P	1	H	oniscoidea			4800
R	2	10	oniscoidea			4800
R	2	10	oniscoidea			4800
R	2	10	oniscoidea			4800
R	2	H	oniscoidea			4800
R	3	10	oniscoidea			4800
L	1	H	oniscoidea			4800
R	1	H	linyphiidae			4800
L	1	10	lycosidae			4800
L	1	10	diplopoda			4800
P	3	10	staphylinidae			4800
P	1	H	staphylinidae			4800
P	1	10	staphylinidae			4800
R	1	10	larva_diptera	6762.768	464.97	4615.53943138152
P	2	20	juvenil			4500
L	3	10	larva_coleoptero	5567.376	848.977	4499.651672
L	1	Hoja	pupa_diptero	5452.346	902.622	4406.534887
R	1	10	elateriforme			4400
R	3	20	enquitreido			4400
R	2	20	formicidae			4400
P	2	10	oniscoidea			4400
P	2	10	oniscoidea			4400
P	2	10	oniscoidea			4400
P	2	10	oniscoidea			4400
P	2	H	oniscoidea			4400
P	1	H	oniscoidea			4400
P	1	H	oniscoidea			4400
P	1	H	oniscoidea			4400
R	2	10	oniscoidea			4400
R	2	10	oniscoidea			4400
R	2	H	oniscoidea			4400
R	2	H	oniscoidea			4400
R	2	H	oniscoidea			4400
R	3	H	oniscoidea			4400
R	3	H	oniscoidea			4400
R	3	H	oniscoidea			4400
R	3	H	oniscoidea			4400
R	1	10	oniscoidea			4400
P	1	H	linyphiidae			4400
L	1	10	staphylinidae			4400
R	1	20	juvenil			4350
P	1	10	juvenil			4350
R	3	Frag	enquitreido	12291.495	513.405	4252.69795621225
L	3	Frag	enquitreido	12210.135	681.42	4221.74376862489
L	1	10	enquitreido	12194.884	445.283	4215.94367134194
L	2	humus	enquitreido	12122.084	413.878	4188.26716243979
L	3	Hoja	pupa_insecto	5180.363	1421.284	4186.3646485
R	3	Hoja	enquitreido	11989.874	463.291	4138.04719791806
L	3	Frag	enquitreido	11984.817	439.808	4136.12739211749
R	1	10	juvenil			4050
R	3	Frag	enquitreido	11728.901	726.762	4039.07959322121
R	1	10	formicidae			4000
R	2	20	formicidae			4000
R	2	20	formicidae			4000
R	2	10	geophylomorpha			4000
P	1	H	oniscoidea			4000
R	2	10	oniscoidea			4000
R	2	10	oniscoidea			4000
R	2	H	oniscoidea			4000
R	3	H	oniscoidea			4000
R	3	10	larva_curculionidae			4000
L	3	H	lycosidae			4000
R	3	10	staphylinidae			4000
L	3	Frag	larva_coleoptero	4883.403	774.899	3945.9755285
L	2	10	enquitreido	11419.464	490.613	3922.01861356379
R	1	10	juvenil			3900
L	3	Frag	larva_coleoptero	4807.404	1014.042	3884.454338
L	1	Frag	enquitreido	11202.85	388.011	3840.26091236567
P	1	10	staphylinidae	6493.025	794.016	3810.53267815322
R	3	Frag	enquitreido	11106.631	503.435	3803.99499155777
P	1	Frag	enquitreido	11081.358	481.923	3794.47453824923
R	2	Hoja	larva_coleoptero	4589.619	453.16	3708.1573805
P	1	Frag	enquitreido	10849.81	410	3707.35099521713
R	3	Frag	enquitreido	10842.959	513.405	3704.77601136217
R	3	Frag	enquitreido	10703.547	441.619	3652.41275884481
P	2	10	coleoptera			3600
L	1	10	cryptophagidae			3600
R	2	10	geophylomorpha			3600
R	2	10	geophylomorpha			3600
P	2	10	oniscoidea			3600
P	2	10	oniscoidea			3600
P	2	H	oniscoidea			3600
P	2	H	oniscoidea			3600
P	1	H	oniscoidea			3600
R	2	H	oniscoidea			3600
R	3	10	oniscoidea			3600
R	3	10	oniscoidea			3600
R	3	10	oniscoidea			3600
R	3	H	oniscoidea			3600
L	2	10	larva_diptera			3600
L	2	10	larva_tenebrionidae			3600
L	3	20	trogossitidae			3600
R	2	H	staphylinidae	6324.144	863.145	3571.09643347206
P	1	H	staphylinidae	6306.257	708.863	3546.27568864727
L	3	Frag	enquitreido	10344.787	407.788	3517.97757679095
R	3	Hoja	enquitreido	10296.926	494.418	3500.0778933154
R	1	20	Bimastosparvus			3450
P	2	20	juvenil			3450
L	2	Hoja	enquitreido	10098.241	390.428	3425.86040831773
P	1	Frag	enquitreido	10067.703	623.391	3414.46600793537
R	3	10	enquitreido	9890.968	470.629	3348.59045710209
L	1	10	larva_sciaridae	5974.911	619.168	3347.08822581161
L	1	10	enquitreido	9874.283	401.599	3342.37739801151
R	3	10	enquitreido	9818.174	495.859	3321.49157898229
R	3	10	juvenil			3300
P	2	20	Eukerriahalophila			3300
L	3	10	enquitreido	9705.186	1112.455	3279.46959008546
R	1	Frag	enquitreido	9698.203	441.685	3276.8741031654
L	2	10	enquitreido	9642.333	401.021	3256.114716798
L	1	humus	enquitreido	9621.847	351.042	3248.50582763079
R	3	10	enquitreido	9524.221	443.967	3212.26798537745
P	1	H	carabidae			3200
R	3	10	carabidae			3200
P	2	10	coleoptera			3200
R	2	20	formicidae			3200
R	2	10	geophylomorpha			3200
R	2	10	geophylomorpha			3200
P	1	H	oniscoidea			3200
P	1	H	oniscoidea			3200
P	1	H	oniscoidea			3200
P	1	10	oniscoidea			3200
R	2	H	oniscoidea			3200
R	1	10	oniscoidea			3200
P	3	10	linyphiidae			3200
R	3	H	lycosidae			3200
L	3	10	diplopoda			3200
L	1	H	diplopoda			3200
P	1	20	ptilidae			3200
P	1	Frag	enquitreido	9429.76	365.2	3177.24029795632
R	3	Frag	enquitreido	9419.123	547.79	3173.29811511433
P	3	humus	larva_coleoptero	3927.95	659.705	3172.536325
P	1	Frag	enquitreido	9313.213	273.375	3134.07112391223
L	1	10	enquitreido	9215.121	474.926	3097.7795261849
L	1	Hoja	enquitreido	9087.714	397.94	3050.69980796933
L	1	Hoja	enquitreido	9012.772	309.641	3023.03782973124
R	2	10	juvenil			3000
R	3	10	juvenil			3000
P	1	Frag	enquitreido	8892.31	333.955	2978.62213594732
L	1	Frag	enquitreido	8868.084	500.229	2969.69697606388
R	3	Frag	enquitreido	8817.173	477.601	2950.9486820544
P	1	Frag	enquitreido	8790.89	396.883	2941.27403515682
P	1	Frag	enquitreido	8786.763	431.578	2939.75516866346
R	3	Hoja	enquitreido	8776.618	448.912	2936.02179116332
R	2	H	formicidae	6037.396	985.959	2927.66977540941
P	3	humus	larva_coleoptero	3600.696	474.036	2907.624212
L	2	humus	enquitreido	8686.57	466.355	2902.90293755519
R	3	Frag	enquitreido	8679.112	466.222	2900.1614858056
R	3	Frag	enquitreido	8636.519	437.866	2884.50944154003
P	2	Frag	oniscoidea	8377.852	1924.735	2872.8331224
R	3	20	enquitreido	8577.962	412.943	2863.00356337439
L	2	Frag	enquitreido	8552.402	309.123	2853.62089128879
R	1	10	juvenil			2850
R	3	10	juvenil			2850
L	2	Frag	pupa_diptero	3514.276	766.63	2837.667222
P	2	Frag	oniscoidea	8300.406	1721.354	2835.9533372
R	3	Frag	enquitreido	8499.425	514.392	2834.18280818525
R	3	20	enquitreido	8429.933	402.038	2808.70349045991
P	2	Frag	oniscoidea	8227.121	2156.603	2801.0550202
L	1	Hoja	enquitreido	8409.04	402.415	2801.04714715527
P	2	10	oniscoidea			2800
P	1	H	oniscoidea			2800
P	1	H	oniscoidea			2800
P	1	H	oniscoidea			2800
P	1	H	oniscoidea			2800
P	1	H	oniscoidea			2800
P	1	H	oniscoidea			2800
P	1	10	oniscoidea			2800
R	2	10	oniscoidea			2800
R	2	10	oniscoidea			2800
R	3	10	oniscoidea			2800
R	1	H	oniscoidea			2800
L	1	H	oniscoidea			2800
L	1	10	oniscoidea			2800
P	3	10	linyphiidae			2800
R	2	H	lycosidae			2800
L	2	10	lycosidae			2800
R	3	10	staphylinidae			2800
L	1	10	staphylinidae			2800
L	2	Frag	pupa_diptero	3414.19	1020.661	2756.647605
P	1	Frag	enquitreido	8269.845	264.83	2750.08720488032
R	3	Hoja	enquitreido	8135.857	249.011	2701.11451077579
R	2	10	juvenil			2700
R	1	10	juvenil			2700
R	1	10	juvenil			2700
R	1	10	juvenil			2700
R	3	10	juvenil			2700
P	2	20	Microscolexphosphoreus			2700
L	1	10	enquitreido	8088.795	317.168	2683.9323844354
P	2	Frag	oniscoidea	7964.284	1567.531	2675.8920408
P	1	Frag	enquitreido	8051.012	383.625	2670.14520967245
L	1	Frag	enquitreido	8033.26	624.759	2663.66966257326
R	3	humus	enquitreido	8019.02	458.289	2658.47625148117
L	3	Hoja	larva_sciaridae	5460.214	724.566	2649.55863853008
R	3	Frag	staphiliniidae	5594.267	686.48	2640.29451923519
L	1	Hoja	pupa_diptero	3262.393	1008.782	2633.7679335
L	1	Hoja	enquitreido	7949.492	360.039	2633.13225482197
R	3	10	enquitreido	7932.261	373.087	2626.85471664084
R	3	Hoja	enquitreido	7916.026	519.125	2620.94128523874
P	1	10	larva_coleoptero	3233.241	410.436	2610.1693895
P	1	Frag	enquitreido	7858.723	513.121	2600.07896711965
R	3	Hoja	enquitreido	7842.591	393.721	2594.20852445578
